Symbol,Series,Security Name,Band,Remarks
AMTEKINDIA,EQ,Amtek India Limited,20,-
ANANTRAJ,EQ,Anant Raj Industries Limited,20,-
ANDHRSUGAR,EQ,The Andhra Sugars Limited,20,-
ANIKINDS,EQ,Anik Industries Limited,20,-
ANSALAPI,EQ,Ansal Properties & Infrastructure Limited,20,-
ANSALHSG,EQ,Ansal Housing and Construction Limited,20,-
APARINDS,EQ,Apar Industries Limited,20,-
APCOTEXIND,EQ,Apcotex Industries Limited,20,-
APLAB,EQ,Aplab Limited,20,-
APLAPOLLO,EQ,APL Apollo Tubes Limited,20,-
APLLTD,EQ,Alembic Pharmaceuticals Limited,20,-
APOLLOHOSP,EQ,Apollo Hospitals Enterprise Limited,20,-
AQUA,EQ,Aqua Logistics Limited,20,-
ARCHIES,EQ,Archies Limited,20,-
ARIES,EQ,Aries Agro Limited,20,-
ARL,EQ,Arvind Remedies Limited,20,-
AROGRANITE,EQ,Aro Granite Industries Limited,20,-
ARROWTEX,EQ,Arrow Textiles Limited,20,-
ARSHIYA,EQ,Arshiya International Limited,20,-
ASAHIINDIA,EQ,Asahi India Glass Limited,20,-
ASAHISONG,EQ,Asahi Songwon Colors Limited,20,-
ASAL,EQ,Automotive Stampings and Assemblies Limited,20,-
ASHIANA,EQ,Ashiana Housing Limited,20,-
ASHOKA,EQ,Ashoka Buildcon Limited,20,-
ASIANHOTNR,EQ,Asian Hotels (North) Limited,20,-
ASTERSILI,EQ,Aster Silicates Limited,20,-
ASTRAL,EQ,Astral Poly Technik Limited,20,-
ASTRAMICRO,EQ,Astra Microwave Products Limited,20,-
ASTRAZEN,EQ,AstraZeneca Pharma India Limited,20,-
ATFL,EQ,Agro Tech Foods Limited,20,-
ATLANTA,EQ,Atlanta Limited,20,-
ATNINTER,EQ,ATN International Limited,20,-
ATUL,EQ,Atul Limited,20,-
AURIONPRO,EQ,Aurionpro Solutions Limited,20,-
AUTOAXLES,EQ,Automotive Axles Limited,20,-
AUTOLITIND,EQ,Autolite (India) Limited,20,-
AVENTIS,EQ,Aventis Pharma Limited,20,-
AXISGOLD,EQ,Axis Mutual Fund - Axis Gold ETF,20,-
BAJAJCORP,EQ,Bajaj Corp Limited,20,-
BAJAJELEC,EQ,Bajaj Electricals Limited,20,-
BAJAJFINSV,EQ,Bajaj Finserv Limited,20,-
BAJFINANCE,EQ,Bajaj Finance Limited,20,-
BALAJITELE,EQ,Balaji Telefilms Limited,20,-
BALAMINES,EQ,Balaji Amines Limited,20,-
BALKRISIND,EQ,Balkrishna Industries Limited,20,-
BALLARPUR,EQ,Ballarpur Industries Limited,20,-
BALMLAWRIE,EQ,Balmer Lawrie & Company Limited,20,-
BALPHARMA,EQ,Bal Pharma Limited,20,-
BANARISUG,EQ,Bannari Amman Sugars Limited,20,-
BANCOINDIA,EQ,Banco Products (I) Limited,20,-
BANG,EQ,Bang Overseas Limited,20,-
BANKBEES,EQ,Goldman Sachs Banking Index Exchange Traded Scheme,20,-
BANSWRAS,EQ,Banswara Syntex Limited,20,-
BARTRONICS,EQ,Bartronics India Limited,20,-
BASF,EQ,BASF India Limited,20,-
BASML,EQ,Bannari Amman Spinning Mills Limited,20,-
BATLIBOI,EQ,Batliboi Limited,20,-
BAYERCROP,EQ,Bayer Cropscience Limited,20,-
BBL,EQ,Bharat Bijlee Limited,20,-
BBTC,EQ,Bombay Burmah Trading Corporation Limited,20,-
BEPL,EQ,Bhansali Engineering Polymers Limited,20,-
BERGEPAINT,EQ,Berger Paints (I) Limited,20,-
BFINVEST,EQ,BF Investment Limited,20,-
BHAGWATIHO,EQ,Bhagwati Banquets and Hotels Limited,20,-
BHAGYNAGAR,EQ,Bhagyanagar India Limited,20,-
BHARATFORG,W2,Bharat Forge Limited,20,-
BHARATRAS,EQ,Bharat Rasayan Limited,20,-
BHARTISHIP,EQ,Bharati Shipyard Limited,20,-
BIL,EQ,Bhartiya International Limited,20,-
BIMETAL,EQ,Bimetal Bearings Limited,20,-
BINDALAGRO,EQ,Oswal Chemicals & Fertilizers Limited,20,-
BIRLACORPN,EQ,Birla Corporation Limited,20,-
BIRLAERIC,EQ,Birla Ericsson Optical Limited,20,-
BIRLAPOWER,EQ,Birla Power Solutions Limited,20,-
BLISSGVS,EQ,Bliss GVS Pharma Limited,20,-
BLKASHYAP,EQ,B. L. Kashyap and Sons Limited,20,-
BLUECHIP,EQ,Blue Chip India Limited,20,-
BLUEDART,EQ,Blue Dart Express Limited,20,-
BLUESTARCO,EQ,Blue Star Limited,20,-
BLUESTINFO,EQ,Blue Star Infotech Limited,20,-
BOC,EQ,BOC India Limited,20,-
BPL,EQ,BPL Limited,20,-
BRANDHOUSE,EQ,Brandhouse Retails Limited,20,-
BRIGADE,EQ,Brigade Enterprises Limited,20,-
BRITANNIA,EQ,Britannia Industries Limited,20,-
BSLGOLDETF,EQ,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,20,-
BSLNIFTY,EQ,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,20,-
BSTRANSCOM,EQ,BS TransComm Limited,20,-
BURNPUR,EQ,Burnpur Cement Limited,20,-
CADILAHC,EQ,Cadila Healthcare Limited,20,-
CANDC,EQ,C & C Constructions Limited,20,-
CANFINHOME,EQ,Can Fin Homes Limited,20,-
CANTABIL,EQ,Cantabil Retail India Limited,20,-
CARBORUNIV,EQ,Carborundum Universal Limited,20,-
CAREERP,EQ,Career Point Limited,20,-
CASTROL,EQ,Castrol India Limited,20,-
CCCL,EQ,Consolidated Construction Consortium Limited,20,-
CCL,EQ,CCL Products (India) Limited,20,-
CEATLTD,EQ,CEAT Limited,20,-
CEBBCO,EQ,Commercial Engineers & Body Builders Co Limited,20,-
CELEBRITY,EQ,Celebrity Fashions Limited,20,-
CENTENKA,EQ,Century Enka Limited,20,-
CENTEXT,EQ,Century Extrusions Limited,20,-
CENTUM,EQ,Centum Electronics Limited,20,-
CENTURYPLY,EQ,Century Plyboards (India) Limited,20,-
CERA,EQ,Cera Sanitaryware Limited,20,-
CHEMFALKAL,EQ,Chemfab Alkalis Limited,20,-
CHENNPETRO,EQ,Chennai Petroleum Corporation Limited,20,-
CHETTINAD,EQ,Chettinad Cement Corporation Limited,20,-
CHOLAFIN,EQ,Cholamandalam Investment and Finance Company Limited,20,-
CIMMCO,EQ,Cimmco Limited,20,-
CINEMAX,EQ,Cinemax India Limited,20,-
CLNINDIA,EQ,Clariant Chemicals (India) Limited,20,-
CLUTCHAUTO,EQ,Clutch Auto Limited,20,-
CMAHENDRA,EQ,C. Mahendra Exports Limited,20,-
COMPUAGE,EQ,Compuage Infocom Limited,20,-
COMPUSOFT,EQ,Compucom Software Limited,20,-
CONCOR,EQ,Container Corporation of India Limited,20,CNX PSE Index
CONSOFINVT,EQ,Consolidated Finvest & Holdings Limited,20,-
CORDSCABLE,EQ,Cords Cable Industries Limited,20,-
COROMANDEL,EQ,Coromandel International Limited,20,-
CORPBANK,EQ,Corporation Bank,20,-
COSMOFILMS,EQ,Cosmo Films Limited,20,-
COX&KINGS,EQ,Cox & Kings Limited,20,-
CREATIVEYE,EQ,Creative Eye Limited,20,-
CRESTANI,EQ,Crest Animation Studios Limited,20,-
CRISIL,EQ,CRISIL Limited,20,-
CRMFGETF,EQ,Canara Robeco Mutual Fund - Canara Robeco Gold Exchange Traded Fund,20,-
CUB,EQ,City Union Bank Limited,20,-
CYBERTECH,EQ,Cybertech Systems And Software Limited,20,-
DAAWAT,EQ,LT Foods Limited,20,-
DALMIABEL,EQ,Dalmia Bharat Enterprises Limited,20,-
DALMIASUG,EQ,Dalmia Bharat Sugar and Industries Limited,20,-
DATAMATICS,EQ,Datamatics Global Services Limited,20,-
DBCORP,EQ,D.B.Corp Limited,20,-
DBREALTY,EQ,D B Realty Limited,20,-
DBSTOCKBRO,EQ,DB (International) Stock Brokers Limited,20,-
DCHL,EQ,Deccan Chronicle Holdings Limited,20,-
DCMSRMCONS,EQ,DCM Shriram Consolidated Limited,20,-
DCW,EQ,DCW Limited,20,-
DECCANCE,EQ,Deccan Cements Limited,20,-
DEEPAKFERT,EQ,Deepak Fertilizers and Petrochemicals Corporation Limited,20,-
DEEPAKNTR,EQ,Deepak Nitrite Limited,20,-
DEEPIND,EQ,Deep Industries Limited,20,-
DENORA,EQ,De Nora India Limited,20,-
DENSO,EQ,Denso India Limited,20,-
DEWANHOUS,EQ,Dewan Housing Finance Corporation Limited,20,-
DHAMPURSUG,EQ,The Dhampur Sugar Mills Limited,20,-
DHANBANK,EQ,Dhanlaxmi Bank Limited,20,-
DHANUKA,EQ,Dhanuka Agritech Limited,20,-
DHARSUGAR,EQ,Dharani Sugars & Chemicals Limited,20,-
DIAPOWER,EQ,Diamond Power Infra Ltd,20,-
DICIND,EQ,DIC India Limited,20,-
DIGJAM,EQ,Digjam Limited,20,-
DISHMAN,EQ,Dishman Pharmaceuticals and Chemicals Limited,20,-
DLINKINDIA,EQ,D-Link (India) Limited,20,-
DOLPHINOFF,EQ,Dolphin Offshore Enterprises (India) Limited,20,-
DONEAR,EQ,Donear Industries Limited,20,-
DPTL,EQ,Dhunseri Petrochem & Tea Limited,20,-
DQE,EQ,DQ Entertainment (International) Limited,20,-
DREDGECORP,EQ,Dredging Corporation of India Limited,20,-
DSKULKARNI,EQ,DS Kulkarni Developers Limited,20,-
DYNAMATECH,EQ,Dynamatic Technologies Limited,20,-
EASUNREYRL,EQ,Easun Reyrolle Limited,20,-
ECLERX,EQ,eClerx Services Limited,20,-
EDELWEISS,EQ,Edelweiss Financial Services Limited,20,-
EDL,EQ,Empee Distilleries Limited,20,-
EICHERMOT,EQ,Eicher Motors Limited,20,-
EIDPARRY,EQ,EID Parry India Limited,20,-
EIHAHOTELS,EQ,EIH Associated Hotels Limited,20,-
EIHOTEL,EQ,EIH Limited,20,-
EIMCOELECO,EQ,Eimco Elecon (India) Limited,20,-
EKC,EQ,Everest Kanto Cylinder Limited,20,-
ELDERPHARM,EQ,Elder Pharmaceuticals Limited,20,-
ELECON,EQ,Elecon Engineering Company Limited,20,-
ELECTCAST,EQ,Electrosteel Castings Limited,20,-
ELECTCAST,W1,Electrosteel Castings Limited,20,-
ELGIEQUIP,EQ,Elgi Equipments Limited,20,-
ELGIRUBCO,EQ,Elgi Rubber Company Limited,20,-
ELNET,EQ,Elnet Technologies Limited,20,-
EMAMILTD,EQ,Emami Limited,20,-
EMCO,EQ,Emco Limited,20,-
EMKAY,EQ,Emkay Global Financial Services Limited,20,-
EMMBI,EQ,Emmbi Polyarns Limited,20,-
ENERGYDEV,EQ,Energy Development Company Limited,20,-
ENGINERSIN,EQ,Engineers India Limited,20,CNX PSE Index
ENIL,EQ,Entertainment Network (India) Limited,20,-
ERAINFRA,EQ,Era Infra Engineering Limited,20,-
EROSMEDIA,EQ,Eros International Media Limited,20,-
ESABINDIA,EQ,Esab India Limited,20,-
ESL,EQ,Electrosteel Steels Limited,20,-
ESSARPORTS,EQ,Essar Ports Limited,20,-
ESSARSHPNG,EQ,Essar Shipping Limited,20,-
ESSDEE,EQ,Ess Dee Aluminium Limited,20,-
ESSELPACK,EQ,Essel Propack Limited,20,-
ESTER,EQ,Ester Industries Limited,20,-
EUROMULTI,EQ,Euro Multivision Limited,20,-
EUROTEXIND,EQ,Eurotex Industries and Exports Limited,20,-
EVEREADY,EQ,Eveready Industries India Limited,20,-
EVERESTIND,EQ,Everest Industries Limited,20,-
EVERONN,EQ,Everonn Education Limited,20,-
EXCELCROP,EQ,Excel Crop Care Limited,20,-
EXCELINDUS,EQ,Excel Industries Limited,20,-
EXCELINFO,EQ,Excel Infoways Limited,20,-
FACT,EQ,Fertilizers and Chemicals Travancore Limited,20,-
FAGBEARING,EQ,FAG Bearings India Limited,20,-
FCH,EQ,Future Capital Holdings Limited,20,-
FCSSOFT,EQ,FCS Software Solutions Limited,20,-
FDC,EQ,FDC Limited,20,-
FEDDERLOYD,EQ,Fedders Lloyd Corporation Limited,20,-
FIEMIND,EQ,Fiem Industries Limited,20,-
FILATEX,EQ,Filatex India Limited,20,-
FINCABLES,EQ,Finolex Cables Limited,20,-
FINPIPE,EQ,Finolex Industries Limited,20,-
FIRSTLEASE,EQ,First Leasing Company of India Limited,20,-
FIRSTWIN,EQ,First Winner Industries Limited,20,-
FKONCO,EQ,Fresenius Kabi Oncology Limited,20,-
FLEXITUFF,EQ,Flexituff International Limited,20,-
FMGOETZE,EQ,Federal-Mogul Goetze (India) Limited.,20,-
FMNL,EQ,Future Market Networks Limited,20,-
FOSECOIND,EQ,Foseco India Limited,20,-
FUTUREVENT,EQ,Future Ventures India Limited,20,-
GABRIEL,EQ,Gabriel India Limited,20,-
GAEL,EQ,Gujarat Ambuja Exports Limited,20,-
GALLANTT,EQ,Gallantt Metal Limited,20,-
GAMMNINFRA,EQ,Gammon Infrastructure Projects Limited,20,-
GAMMONIND,EQ,Gammon India Limited,20,-
GANDHITUBE,EQ,Gandhi Special Tubes Limited,20,-
GANESHHOUC,EQ,Ganesh Housing Corporation Limited,20,-
GARDENSILK,EQ,Garden Silk Mills Limited,20,-
GARWALLROP,EQ,Garware Wall Ropes Limited,20,-
GAYAPROJ,EQ,Gayatri Projects Limited,20,-
GDL,EQ,Gateway Distriparks Limited,20,-
GEECEE,EQ,GeeCee Ventures Limited,20,-
GEINDSYS,EQ,GEI Industrial Systems Limited,20,-
GEMINI,EQ,Gemini Communication Limited,20,-
GENUSPOWER,EQ,Genus Power Infrastructures Limited,20,-
GEODESIC,EQ,Geodesic Limited,20,-
GEOJITBNPP,EQ,Geojit BNP Paribas Financial Services Limited,20,-
GEOMETRIC,EQ,Geometric Limited,20,-
GHCL,EQ,GHCL Limited,20,-
GICHSGFIN,EQ,GIC Housing Finance Limited,20,-
GILLANDERS,EQ,Gillanders Arbuthnot & Company Limited,20,-
GILLETTE,EQ,Gillette India Limited,20,-
GIPCL,EQ,Gujarat Industries Power Company Limited,20,-
GITANJALI,EQ,Gitanjali Gems Limited,20,-
GLENMARK,EQ,Glenmark Pharmaceuticals Limited,20,-
GLOBOFFS,EQ,Global Offshore Services Limited,20,-
GLOBUSSPR,EQ,Globus Spirits Limited,20,-
GLORY,EQ,Glory Polyfilms Limited,20,-
GMBREW,EQ,GM Breweries Limited,20,-
GNFC,EQ,Gujarat Narmada Valley Fertilizer Company Limited,20,-
GOACARBON,EQ,Goa Carbon Limited,20,-
GODFRYPHLP,EQ,Godfrey Phillips India Limited,20,-
GODREJCP,EQ,Godrej Consumer Products Limited,20,-
GODREJPROP,EQ,Godrej Properties Limited,20,-
GOKEX,EQ,Gokaldas Exports Limited,20,-
GOKUL,EQ,Gokul Refoils and Solvent Limited,20,-
GOLDBEES,EQ,Goldman Sachs Gold Exchange Traded Scheme,20,-
GOLDIAM,EQ,Goldiam International Limited,20,-
GOLDINFRA,EQ,Goldstone Infratech Limited,20,-
GOLDSHARE,EQ,UTI Mutual Fund - UTI Gold Exchange Traded Fund,20,-
GOLDTECH,EQ,Goldstone Technologies Limited,20,-
GPIL,EQ,Godawari Power And Ispat limited,20,-
GPPL,EQ,Gujarat Pipavav Port Limited,20,-
GRANULES,EQ,Granules India Limited,20,-
GRAPHITE,EQ,Graphite India Limited,20,-
GRAVITA,EQ,Gravita India Limited,20,-
GREAVESCOT,EQ,Greaves Cotton Limited,20,-
GREENPLY,EQ,Greenply Industries Limited,20,-
GREENPOWER,EQ,Orient Green Power Company Limited,20,-
GRINDWELL,EQ,Grindwell Norton Limited,20,-
GRUH,EQ,Gruh Finance Limited,20,-
GSFC,EQ,Gujarat State Fertilizers & Chemicals Limited,20,-
GSKCONS,EQ,GlaxoSmithKline Consumer Healthcare Limited,20,-
GSLNOVA,EQ,GSL Nova Petrochemicals Limited,20,-
GTL,EQ,GTL Limited,20,-
GTLINFRA,EQ,GTL Infrastructure Limited,20,-
GTNIND,EQ,GTN Industries Limited,20,-
GTNTEX,EQ,GTN Textiles Limited,20,-
GTOFFSHORE,EQ,Great Offshore Limited,20,-
GUFICBIO,EQ,Gufic Biosciences Limited,20,-
GUJALKALI,EQ,Gujarat Alkalies and Chemicals Limited,20,-
GUJAPOLLO,EQ,Gujarat Apollo Industries Limited,20,-
GUJNRECOKE,EQ,Gujarat NRE Coke Limited,20,-
GUJNRECOKE,W1,Gujarat NRE Coke Limited,20,-
GUJNREDVR,EQ,Gujarat NRE Coke Limited,20,-
GUJRATGAS,EQ,Gujarat Gas Company Limited,20,-
GUJSIDHCEM,EQ,Gujarat Sidhee Cements Limited,20,-
GULFOILCOR,EQ,Gulf Oil Corporation Limited,20,-
HANUNG,EQ,Hanung Toys and Textiles Limited,20,-
HARRMALAYA,EQ,Harrisons Malayalam Limited,20,-
HATHWAY,EQ,Hathway Cable & Datacom Limited,20,-
HBLPOWER,EQ,HBL Power Systems Limited,20,-
HCIL,EQ,Himadri Chemicals and Industries Limited,20,-
HDFC,W1,Housing Development Finance Corporation Limited,20,-
HDFCMFGETF,EQ,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,20,-
HEG,EQ,HEG Limited,20,-
HEIDELBERG,EQ,HeidelbergCement India Limited,20,-
HELIOSMATH,EQ,Helios And Matheson Information Technology Limited,20,-
HERCULES,EQ,Hercules Hoists Limited,20,-
HERITGFOOD,EQ,Heritage Foods (India) Limited,20,-
HEXATRADEX,EQ,Hexa Tradex Limited,20,-
HFCL,EQ,Himachal Futuristic Communications Limited,20,-
HGS,EQ,Hinduja Global Solutions Limited,20,-
HIKAL,EQ,Hikal Limited,20,-
HINDCOMPOS,EQ,Hindustan Composites Limited,20,-
HINDCOPPER,EQ,Hindustan Copper Limited,20,-
HINDNATGLS,EQ,Hindusthan National Glass & Industries Limited,20,-
HINDUJAFO,EQ,Hinduja Foundries Limited,20,-
HINDUJAVEN,EQ,Hinduja Ventures Limited,20,-
HIRAFERRO,EQ,Hira Ferro Alloys Limited,20,-
HIRECT,EQ,Hind Rectifiers Limited,20,-
HITACHIHOM,EQ,Hitachi Home and Life Solutions (India) Limited,20,-
HITECHGEAR,EQ,Hi-Tech Gears Limited,20,-
HITECHPLAS,EQ,Hitech Plast Limited,20,-
HMT,EQ,HMT Limited,20,-
HMVL,EQ,Hindustan Media Ventures Limited,20,-
HNGSNGBEES,EQ,Goldman Sachs Hang Seng Exchange Traded Scheme,20,-
HONAUT,EQ,Honeywell Automation India Limited,20,-
HONDAPOWER,EQ,Honda Siel Power Products Limited,20,-
HORIZONINF,EQ,Horizon Infrastructure Limited,20,-
HOTELEELA,EQ,Hotel Leela Venture Limited,20,-
HOVS,EQ,HOV Services Limited,20,-
HSIL,EQ,HSIL Limited,20,-
HTMEDIA,EQ,HT Media Limited,20,-
HUBTOWN,EQ,Hubtown Limited,20,-
HYDRBADIND,EQ,Hyderabad Industries Limited,20,-
HYDROS&S,EQ,Hydro S & S Industries Limited,20,-
ICIL,EQ,Indo Count Industries Limited,20,-
ICRA,EQ,ICRA Limited,20,-
IDBIGOLD,EQ,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund,20,-
IFBIND,EQ,IFB Industries Limited,20,-
IFGLREFRAC,EQ,IFGL Refractories Limited,20,-
IGPL,EQ,IG Petrochemicals Limited,20,-
IIFLNIFTY,EQ,IIFL Mutual Fund - IIFL NIFTY ETF,20,-
IL&FSENGG,EQ,IL&FS Engineering and Construction Company Limited,20,-
IL&FSTRANS,EQ,IL&FS Transportation Networks Limited,20,-
IMFA,EQ,Indian Metals & Ferro Alloys Limited,20,-
IMPAL,EQ,India Motor Parts and Accessories Limited,20,-
INDBANK,EQ,Indbank Merchant Banking Services Limited,20,-
INDIABULLS,EQ,Indiabulls Financial Services Limited,20,-
INDIABULLS,W1,Indiabulls Financial Services Limited,20,-
INDIAGLYCO,EQ,India Glycols Limited,20,-
INDIANHUME,EQ,Indian Hume Pipe Company Limited,20,-
INDLMETER,EQ,IMP Powers Limited,20,-
INDNIPPON,EQ,India Nippon Electricals Limited,20,-
INDOCO,EQ,Indoco Remedies Limited,20,-
INDORAMA,EQ,Indo Rama Synthetics (India) Limited,20,-
INDOTHAI,EQ,Indo Thai Securities Limited,20,-
INDRAMEDCO,EQ,Indraprastha Medical Corporation Limited,20,-
INDSWFTLAB,EQ,Ind-Swift Laboratories Limited,20,-
INDSWFTLTD,EQ,Ind-Swift Limited,20,-
INDUSFILA,EQ,Indus Fila Limited,20,-
INEABS,EQ,INEOS ABS (India) Limited,20,-
INFINITE,EQ,Infinite Computer Solutions (India) Limited,20,-
INFOMEDIA,EQ,Infomedia 18 Limited,20,-
INFOTECENT,EQ,Infotech Enterprises Limited,20,-
INFRABEES,EQ,Goldman Sachs Infrastructure Exchange Traded Scheme,20,-
INGERRAND,EQ,Ingersoll Rand (India) Limited,20,-
INGVYSYABK,EQ,ING Vysya Bank Limited,20,-
INNOIND,EQ,Innoventive Industries Limited,20,-
INOXLEISUR,EQ,INOX Leisure Limited,20,-
INSECTICID,EQ,Insecticides (India) Limited,20,-
IOLCP,EQ,IOL Chemicals and Pharmaceuticals Limited,20,-
IPCALAB,EQ,IPCA Laboratories Limited,20,-
IPGETF,EQ,ICICI Prudential Mutual Fund - ICICI Prudential Gold ETF,20,-
IPRINGLTD,EQ,IP Rings Limited,20,-
ISFT,EQ,Intrasoft Technologies Limited,20,-
ISMTLTD,EQ,ISMT Limited,20,-
ITDCEM,EQ,ITD Cementation India Limited,20,-
ITI,EQ,ITI Limited,20,-
IVC,EQ,IL&FS Investment Managers Limited,20,-
IVP,EQ,IVP Limited,20,-
J&KBANK,EQ,The Jammu & Kashmir Bank Limited,20,-
JAGRAN,EQ,Jagran Prakashan Limited,20,-
JAGSNPHARM,EQ,Jagsonpal Pharmaceuticals Limited,20,-
JAICORPLTD,EQ,Jai Corp Limited,20,-
JAIHINDPRO,EQ,Jaihind Projects Limited,20,-
JAYAGROGN,EQ,Jayant Agro Organics Limited,20,-
JAYNECOIND,EQ,Jayaswal Neco Industries Limited,20,-
JAYSREETEA,EQ,Jayshree Tea & Industries Limited,20,-
JBCHEPHARM,EQ,JB Chemicals & Pharmaceuticals Limited,20,-
JBFIND,EQ,JBF Industries Limited,20,-
JBMA,EQ,JBM Auto Limited,20,-
JENSONICOL,EQ,Jenson & Nicholson (India) Limited,20,-
JHS,EQ,JHS Svendgaard Laboratories Limited,20,-
JIKIND,EQ,JIK Industries Limited,20,-
JINDALPHOT,EQ,Jindal Photo Limited,20,-
JINDALPOLY,EQ,Jindal Poly Films Limited,20,-
JINDCOT,EQ,Jindal Cotex Limited,20,-
JINDRILL,EQ,Jindal Drilling And Industries Limited,20,-
JISLDVREQS,EQ,Jain Irrigation Systems Limited,20,-
JKCEMENT,EQ,JK Cement Limited,20,-
JKIL,EQ,J.Kumar Infraprojects Limited,20,-
JKLAKSHMI,EQ,JK Lakshmi Cement Limited,20,-
JKPAPER,EQ,JK Paper Limited,20,-
JKTYRE,EQ,JK Tyre & Industries Limited,20,-
JMCPROJECT,EQ,JMC Projects (India) Limited,20,-
JMFINANCIL,EQ,JM Financial Limited,20,-
JMTAUTOLTD,EQ,JMT Auto Limited,20,-
JOCIL,EQ,Jocil Limited,20,-
JPINFRATEC,EQ,Jaypee Infratech Limited,20,-
JSL,EQ,Jindal Stainless Limited,20,-
JUBILANT,EQ,Jubilant Life Sciences Limited,20,-
JUBLINDS,EQ,Jubilant Industries Limited,20,-
JUMBO,EQ,Jumbo Bag Limited,20,-
JUNIORBEES,EQ,Goldman Sachs Nifty Junior Exchange Traded Scheme,20,-
JUPITER,EQ,Jupiter Bioscience Limited,20,-
JVLAGRO,EQ,JVL Agro Industries Limited,20,-
JYOTHYLAB,EQ,Jyothy Laboratories Limited,20,-
JYOTISTRUC,EQ,Jyoti Structures Limited,20,-
JYOTISTRUC,W1,Jyoti Structures Limited,20,-
KABRAEXTRU,EQ,Kabra Extrusion Technik Limited,20,-
KAJARIACER,EQ,Kajaria Ceramics Limited,20,-
KALECONSUL,EQ,Kale Consultants Limited,20,-
KALINDEE,EQ,Kalindee Rail Nirman (Engineers) Limited,20,-
KALPATPOWR,EQ,Kalpataru Power Transmission Limited,20,-
KANORICHEM,EQ,Kanoria Chemicals & Industries Limited,20,-
KANSAINER,EQ,Kansai Nerolac Paints Limited,20,-
KARURVYSYA,EQ,Karur Vysya Bank Limited,20,-
KAUSHALYA,EQ,Kaushalya Infrastructure Development Corporation Limited,20,-
KAVVERITEL,EQ,Kavveri Telecom Products Limited,20,-
KBIL,EQ,Kirloskar Brothers Investments Limited,20,-
KCP,EQ,KCP Limited,20,-
KCPSUGIND,EQ,KCP Sugar and Industries Corporation Limited,20,-
KEC,EQ,KEC International Limited,20,-
KEI,EQ,KEI Industries Limited,20,-
KEMROCK,EQ,Kemrock Industries and Exports Limited,20,-
KESARENT,EQ,Kesar Enterprises Limited,20,-
